what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1667147648112
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1667147648480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147650850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147744349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147753952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147761148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147774692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147782751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1667147822447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147824864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147850845
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1667147853081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147866240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147880370
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1667147927030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147942882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147975012
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1667147976345
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1667147978457
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1667147978508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147984450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147985606
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1667147986423
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1667147986432
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667147988360
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1667147988567
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1667147988579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667147995864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667148004991
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667148014511
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1667148019285
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1667148019309
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667148020390
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1667148027529
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667148036577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667148039141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667148134803
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1667148137741
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1667148174831
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1667148174835
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1667148178211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1667148179551
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1667148182075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667148185706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667148188035
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1667148188365
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667148190080
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1667148190303
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667148196060
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1667148200749
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1667148202763
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667148203511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667148205332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667148230595
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1667148233330
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1667148234381
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1667148239104
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1667148239139
